Source,Geography,Race,SES Vulnerability,Cause,Deaths
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Disorders Related to Drug Use,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Rheumatic Fever and Heart Diseases,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Sickle Cell Anemia,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Skin Cancer,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Stomach Cancer,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Stroke,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Suffocation,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Testicular Cancer,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Throat Cancer,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Uterine Cancer,0.0
